CaseStudy,Reference,Scenario,Unit,Type,UnitName,ToUnitName,FromPort,Parameter
emwd,nawi,zld_a,iron_and_manganese_removal,treatment,iron_and_manganese_removal,"decarbonator_a,cartridge_filtration_a,chlorination,cartridge_filtration_b","outlet,outlet,outlet,outlet","{'split_fraction': [0.033, 0.467, 0.116, 0.384]}"
emwd,nawi,zld_a,cartridge_filtration,treatment,cartridge_filtration_a,menifee_first_pass,outlet,
emwd,nawi,zld_a,reverse_osmosis,treatment,menifee_first_pass,"decarbonator_a,passthrough_a","outlet,waste","{""erd"": False}"
emwd,nawi,zld_a,basic_unit,treatment,passthrough_a,lime_softening_a,outlet,{'unit_process_name': 'passthrough'}
emwd,nawi,zld_a,lime_softening,treatment,lime_softening_a,menifee_second_pass,outlet,{'lime': 100}
emwd,nawi,zld_a,reverse_osmosis,treatment,menifee_second_pass,"decarbonator_a,evaporation_pond","outlet,waste","{""erd"": False}"
emwd,nawi,zld_a,basic_unit,treatment,decarbonator_a,chlorination,outlet,{'unit_process_name': 'decarbonator'}
emwd,nawi,zld_a,cartridge_filtration,treatment,cartridge_filtration_b,perris_i_first_pass,outlet,
emwd,nawi,zld_a,reverse_osmosis,treatment,perris_i_first_pass,"decarbonator_b,passthrough_b","outlet,waste","{""erd"": False}"
emwd,nawi,zld_a,basic_unit,treatment,passthrough_b,lime_softening_b,outlet,{'unit_process_name': 'passthrough'}
emwd,nawi,zld_a,lime_softening,treatment,lime_softening_b,perris_i_second_pass,outlet,{'lime': 100}
emwd,nawi,zld_a,reverse_osmosis,treatment,perris_i_second_pass,"decarbonator_b,evaporation_pond","outlet,waste","{""erd"": False}"
emwd,nawi,zld_a,basic_unit,treatment,decarbonator_b,chlorination,outlet,{'unit_process_name': 'decarbonator'}
emwd,nawi,zld_a,chlorination,treatment,chlorination,treated_storage,outlet,{'chemical_name': 'Chlorine'}
emwd,nawi,zld_a,treated_storage,treatment,treated_storage,treated_water_pumping_station,outlet,"{""storage_time"": 3}"
emwd,nawi,zld_a,evaporation_pond,treatment,evaporation_pond,landfill_zld,waste,{'approach': 'wt3'}
emwd,nawi,zld_a,treated_water_pumping_station,use,treated_water_pumping_station,,,
emwd,nawi,zld_a,landfill_zld,waste,landfill_zld,,,
,,,,,,,,
emwd,nawi,zld_b,well_field,intake,well_field,iron_and_manganese_removal,outlet,"{'water_type': ['emwd_ca_brackish'], ""piping_distance"": 70, ""pump"": True}"
emwd,nawi,zld_b,iron_and_manganese_removal,treatment,iron_and_manganese_removal,"decarbonator_a,cartridge_filtration_a,chlorination,cartridge_filtration_b","outlet,outlet,outlet,outlet","{'split_fraction': [0.033, 0.467, 0.116, 0.384]}"
emwd,nawi,zld_b,cartridge_filtration,treatment,cartridge_filtration_a,menifee_first_pass,outlet,
emwd,nawi,zld_b,reverse_osmosis,treatment,menifee_first_pass,"decarbonator_a,passthrough_a","outlet,waste","{""erd"": False}"
emwd,nawi,zld_b,basic_unit,treatment,passthrough_a,lime_softening_a,outlet,{'unit_process_name': 'passthrough'}
emwd,nawi,zld_b,lime_softening,treatment,lime_softening_a,menifee_second_pass,outlet,{'lime': 100}
emwd,nawi,zld_b,reverse_osmosis,treatment,menifee_second_pass,"decarbonator_a,brine_concentrator","outlet,waste","{""erd"": False}"
emwd,nawi,zld_b,basic_unit,treatment,decarbonator_a,chlorination,outlet,{'unit_process_name': 'decarbonator'}
emwd,nawi,zld_b,cartridge_filtration,treatment,cartridge_filtration_b,perris_i_first_pass,outlet,
emwd,nawi,zld_b,reverse_osmosis,treatment,perris_i_first_pass,"decarbonator_b,passthrough_b","outlet,waste","{""erd"": False}"
emwd,nawi,zld_b,basic_unit,treatment,passthrough_b,lime_softening_b,outlet,{'unit_process_name': 'passthrough'}
emwd,nawi,zld_b,lime_softening,treatment,lime_softening_b,perris_i_second_pass,outlet,{'lime': 100}
emwd,nawi,zld_b,reverse_osmosis,treatment,perris_i_second_pass,"decarbonator_b,brine_concentrator","outlet,waste","{""erd"": False}"
emwd,nawi,zld_b,basic_unit,treatment,decarbonator_b,chlorination,outlet,{'unit_process_name': 'decarbonator'}
emwd,nawi,zld_b,chlorination,treatment,chlorination,treated_storage,outlet,{'chemical_name': 'Chlorine'}
emwd,nawi,zld_b,treated_storage,treatment,treated_storage,treated_water_pumping_station,outlet,"{""storage_time"": 3}"
emwd,nawi,zld_b,brine_concentrator,treatment,brine_concentrator,"treated_storage,evaporation_pond","outlet,waste",
emwd,nawi,zld_b,evaporation_pond,treatment,evaporation_pond,landfill_zld,waste,{'approach': 'wt3'}
emwd,nawi,zld_b,treated_water_pumping_station,use,treated_water_pumping_station,,,
emwd,nawi,zld_b,landfill_zld,waste,landfill_zld,,,
,,,,,,,,
emwd,nawi,zld_c,well_field,intake,well_field,iron_and_manganese_removal,outlet,"{'water_type': ['emwd_ca_brackish'], ""piping_distance"": 70, ""pump"": True}"
emwd,nawi,zld_c,iron_and_manganese_removal,treatment,iron_and_manganese_removal,"decarbonator_a,cartridge_filtration_a,chlorination,cartridge_filtration_b","outlet,outlet,outlet,outlet","{'split_fraction': [0.033, 0.467, 0.116, 0.384]}"
emwd,nawi,zld_c,cartridge_filtration,treatment,cartridge_filtration_a,menifee_first_pass,outlet,
emwd,nawi,zld_c,reverse_osmosis,treatment,menifee_first_pass,"decarbonator_a,passthrough_a","outlet,waste","{""erd"": False}"
emwd,nawi,zld_c,basic_unit,treatment,passthrough_a,lime_softening_a,outlet,{'unit_process_name': 'passthrough'}
emwd,nawi,zld_c,lime_softening,treatment,lime_softening_a,menifee_second_pass,outlet,{'lime': 100}
emwd,nawi,zld_c,reverse_osmosis,treatment,menifee_second_pass,"decarbonator_a,brine_concentrator","outlet,waste","{""erd"": False}"
emwd,nawi,zld_c,basic_unit,treatment,decarbonator_a,chlorination,outlet,{'unit_process_name': 'decarbonator'}
emwd,nawi,zld_c,cartridge_filtration,treatment,cartridge_filtration_b,perris_i_first_pass,outlet,
emwd,nawi,zld_c,reverse_osmosis,treatment,perris_i_first_pass,"decarbonator_b,passthrough_b","outlet,waste","{""erd"": False}"
emwd,nawi,zld_c,basic_unit,treatment,passthrough_b,lime_softening_b,outlet,{'unit_process_name': 'passthrough'}
emwd,nawi,zld_c,lime_softening,treatment,lime_softening_b,perris_i_second_pass,outlet,{'lime': 100}
emwd,nawi,zld_c,reverse_osmosis,treatment,perris_i_second_pass,"decarbonator_b,brine_concentrator","outlet,waste","{""erd"": False}"
emwd,nawi,zld_c,basic_unit,treatment,decarbonator_b,chlorination,outlet,{'unit_process_name': 'decarbonator'}
emwd,nawi,zld_c,chlorination,treatment,chlorination,treated_storage,outlet,{'chemical_name': 'Chlorine'}
emwd,nawi,zld_c,treated_storage,treatment,treated_storage,treated_water_pumping_station,outlet,"{""storage_time"": 3}"
emwd,nawi,zld_c,brine_concentrator,treatment,brine_concentrator,"treated_storage,crystallizer","outlet,waste",
emwd,nawi,zld_c,crystallizer,treatment,crystallizer,landfill_zld,outlet,{'approach': 'wt3'}
emwd,nawi,zld_c,treated_water_pumping_station,use,treated_water_pumping_station,,,
emwd,nawi,zld_c,landfill_zld,waste,landfill_zld,,,
