case_study,scenario,value,reference,variable
heap_leaching,baseline,0.0005,nawi,salary_cost_factor
heap_leaching,baseline,1,nawi,utilization_factor
hrsd,baseline,2020,nawi,basis_year
hrsd,baseline,virginia,nawi,location_basis
hrsd,baseline,30,nawi,plant_lifetime
hrsd,baseline,0.0015,nawi,land_cost_factor
hrsd,baseline,0.05,nawi,working_capital_factor
hrsd,baseline,0.001,nawi,salaries_percent
hrsd,baseline,0.9,nawi,benefits_cost_factor
hrsd,baseline,0.008,nawi,maintenance_cost_factor
hrsd,baseline,0.003,nawi,laboratory_cost_factor
hrsd,baseline,0.002,nawi,insurance_taxes_cost_factor
hrsd,baseline,0.7,nawi,default_cap_scaling_exp
hrsd,baseline,0.7,nawi,default_opex_scaling_exp
hrsd,baseline,0,nawi,cap_by_equity
hrsd,baseline,0.05,nawi,debt_interest_rate
hrsd,baseline,0.1,nawi,exp_return_on_equity
hrsd,baseline,3.4,nawi,default_tpec_multiplier
hrsd,baseline,1.65,nawi,default_tic_multiplier
hrsd,baseline,0.0005,nawi,salary_cost_factor
hrsd,baseline,1,nawi,utilization_factor
iatan,baseline,2020,nawi,basis_year
iatan,baseline,missouri,nawi,location_basis
iatan,baseline,30,nawi,plant_lifetime
iatan,baseline,0.0015,nawi,land_cost_factor
iatan,baseline,0.05,nawi,working_capital_factor
iatan,baseline,0.001,nawi,salaries_percent
iatan,baseline,0.9,nawi,benefits_cost_factor
iatan,baseline,0.008,nawi,maintenance_cost_factor
iatan,baseline,0.003,nawi,laboratory_cost_factor
iatan,baseline,0.002,nawi,insurance_taxes_cost_factor
iatan,baseline,0.7,nawi,default_cap_scaling_exp
iatan,baseline,0.7,nawi,default_opex_scaling_exp
iatan,baseline,0.4,nawi,cap_by_equity
iatan,baseline,0.08,nawi,debt_interest_rate
iatan,baseline,0.1,nawi,exp_return_on_equity
iatan,baseline,3.4,nawi,default_tpec_multiplier
iatan,baseline,1.65,nawi,default_tic_multiplier
iatan,baseline,0.0005,nawi,salary_cost_factor
iatan,baseline,1,nawi,utilization_factor
iron_and_steel_a,baseline,2020,nawi,basis_year
iron_and_steel_a,baseline,ohio,nawi,location_basis
iron_and_steel_a,baseline,30,nawi,plant_lifetime
iron_and_steel_a,baseline,0.0015,nawi,land_cost_factor
iron_and_steel_a,baseline,0.05,nawi,working_capital_factor
iron_and_steel_a,baseline,0.001,nawi,salaries_percent
iron_and_steel_a,baseline,0.9,nawi,benefits_cost_factor
iron_and_steel_a,baseline,0.008,nawi,maintenance_cost_factor
iron_and_steel_a,baseline,0.003,nawi,laboratory_cost_factor
iron_and_steel_a,baseline,0.002,nawi,insurance_taxes_cost_factor
iron_and_steel_a,baseline,0.7,nawi,default_cap_scaling_exp
iron_and_steel_a,baseline,0.7,nawi,default_opex_scaling_exp
iron_and_steel_a,baseline,0.4,nawi,cap_by_equity
iron_and_steel_a,baseline,0.08,nawi,debt_interest_rate
iron_and_steel_a,baseline,0.1,nawi,exp_return_on_equity
iron_and_steel_a,baseline,3.4,nawi,default_tpec_multiplier
iron_and_steel_a,baseline,1.65,nawi,default_tic_multiplier
iron_and_steel_a,baseline,0.0005,nawi,salary_cost_factor
iron_and_steel_a,baseline,1,nawi,utilization_factor
iron_and_steel_b,baseline,2020,nawi,basis_year
iron_and_steel_b,baseline,ohio,nawi,location_basis
iron_and_steel_b,baseline,30,nawi,plant_lifetime
iron_and_steel_b,baseline,0.0015,nawi,land_cost_factor
iron_and_steel_b,baseline,0.05,nawi,working_capital_factor
iron_and_steel_b,baseline,0.001,nawi,salaries_percent
iron_and_steel_b,baseline,0.9,nawi,benefits_cost_factor
iron_and_steel_b,baseline,0.008,nawi,maintenance_cost_factor
